Target,1st Layer,2nd Layer,Text,Polarity
PURA-DOR,Function,Scalp Care,"Not only does my scalp tingle from the essential oils, but my hair, itself, looks shinier and fuller â€“ without any frizz or product build-up.",Positive
PURA-DOR,Function,Hair outcome / Hair Appearance,"It lathers well, cleans well and leaves my hair feeling soft and shiny.",Positive
PURA-DOR,Function,Hair outcome / Hair Appearance,But my hair is also in better shape - leaves it soft and strong.,Positive
PURA-DOR,Product Attributes,Formula & Ingredients,I am a fan of Purador argan oil products that have moisturizing properties that benefit hair skin and nails.,Positive
NEUTROGENA,Product Attributes,Fragrance,I personally think the smell is amazing.,Positive
NEUTROGENA,Function,Anti-dandruff / Anti-Itchiness/Oil Control,"Although I normally have oily hair, I have to put a leave in conditioner in my hair after using.",Positive
PURA-DOR,Function,Hair outcome / Hair Appearance,I tried this product and my hair is in better shape than it was before and it is smooth and shiny.,Positive
NEUTROGENA,Function,Cleansing,I have been using this once a week to remove residue and buildup and I have noticed volume and bounce to my hair now that it is not weighed down with product buildup.,Positive
NEUTROGENA,Product Attributes,Formula & Ingredients,I have medium length hair and it's little dry due to some degree of chemical treatment.,Positive
PURA-DOR,Function,Cleansing,"It smells bad (like my dog's shampoo) and it's hard to lather, and I think it leaves a oily residue in my hair, so I need to wash my hair daily.",Positive
PURA-DOR,Function,Hair Regrowth / anti hair loss,"I would highly recommend this product to anyone who needs to control their hair loss or wants a fuller, stronger head of hair.",Positive
PURA-DOR,Function,Hair outcome / Hair Appearance,"However, since I have been using argan oil, I can see and feel a difference in the texture, length and shine of my hair, and a HUGE decrease in the amount of hair falling out.",Positive
PANTENE,Function,Scalp Care,"From the scent, to the rich lather, to the softness of my hair, to the way it makes my scalp feel so fresh.",Positive
PURA-DOR,Product Attributes,Formula & Ingredients,"I have been using the Pura d'or hair loss prevention premium organic shampoo , during 6 months , and I am very happy , my hair is very nice, bright and it feels cleaner than when I use another kind of shampoo , And also it smells very very nice.",Positive
PANTENE,Function,Anti-dandruff / Anti-Itchiness/Oil Control,"It felt heavy, did not mix with water well and made my hair feel oily after 2 washes, yet dry at the same time.",Positive
PURA-DOR,Product Attributes,Packaging,Nice packaging.,Positive
NEUTROGENA,Function,Hair outcome / Hair Appearance,"I have very fine, thin, mostly straight hair and I've been very pleased with this product for my hair type.",Positive
PURA-DOR,Product Attributes,Price,The shampoo is expensive but the results up till now are worth the price.,Negative
PANTENE,Function,Scalp Care,It did make my hair feel good but my scalp started to break out in bumps and pimples EVERYWHERE.,Positive
PURA-DOR,Function,Hydration,I needed something that will help reduce hair loss and leave moisture in my hair.,Positive
PURA-DOR,Function,Cleansing,Leaves hair feeling clean and easy to style.,Positive
NEUTROGENA,Function,Anti-dandruff / Anti-Itchiness/Oil Control,"I have an oily scalp, super super oily scalp.",Positive
PURA-DOR,Function,Cleansing,"The bottle says it takes 3 months for results but after only a month of use, my hair is stronger than ever, shiny, and stays clean 3 times as long as any store brand.",Positive
PURA-DOR,Function,Hair Regrowth / anti hair loss,"I can't tell yet as far as the hair loss prevention part goes, but I will write a follow up review when I figure that out.",Negative
